ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
04323-3701-1.zip,202502070821,柴田郡柴田町大字海老穴字清丁地沖,2-2,,
04323-3701-1.zip,202502070821,柴田郡柴田町大字海老穴字清丁地沖,道-1,,
04323-3701-1.zip,202502070821,柴田郡柴田町大字海老穴字清丁地沖,道-2,,
04323-3701-1.zip,202502070821,柴田郡柴田町大字海老穴字清丁地沖,水-1,,
04323-3701-1.zip,202502070821,柴田郡柴田町大字海老穴字清丁地沖,長狭物不明-1,,
04323-3701-1.zip,202502070821,柴田郡柴田町,地区外-1326888,,
04323-3701-1.zip,202502070821,柴田郡柴田町,地区外-1326889,,
04323-3701-1.zip,202502070821,柴田郡柴田町,地区外-1326890,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,1-2,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,1-3,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,2-2,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,2-3,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,13-1,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,18-2,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,18-3,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,19-2,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,19-3,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,22-2,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,道-40,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,道-41,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,水-40,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,水-41,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,水-42,,
04323-3701-2.zip,202502070821,柴田郡柴田町大字成田字堤下,長狭物不明-54,,
04323-3701-2.zip,202502070821,柴田郡柴田町,地区外-1350284,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,13-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,14-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,14-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,15-1,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,15-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,15-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,16-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,16-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,17,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,18-1,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,18-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,19-1,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,19-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,20,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,21-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,22-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,23-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,48-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,49,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,50-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,51-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,51-4,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,52-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,95-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,96-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,272-1,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,272-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,道-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,道-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,水-1,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,水-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,長狭物不明-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字坂本前,長狭物不明-4,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,45-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,46-1,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,46-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,46-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,47-1,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,47-2,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,47-3,,
04323-3701-3.zip,202502070821,柴田郡柴田町大字四日市場字腰巡,48-1,,
